Familia,Tecnologia,Modelo,Fuente,Potencia,Precio,Gama
STILINE BT,16 G5,,,STANDARD,1640.625,alta
STILINE BT,8 G5,,,STANDARD,936,alta
STILINE,12 G5,,,STANDARD,1262.5,alta
STILINE,8 G5,,,STANDARD,812.5,alta
DUO,12 G5,,,STANDARD,992.25,alta
MOOD,12 G5,,,STANDARD,1070.375,alta
SUN,12 G5,,,STANDARD,1070.375,alta
MOOD,8 G5,,,STANDARD,695.375,alta
DUO,8 G5,,,STANDARD,648.5,alta
P,8 G5,,,STANDARD,648.5,alta
MOOD,4 G5 Li,,,STANDARD,582,alta
DUO,4 G5 Li,,,STANDARD,568,alta
CROS G5,CROS,RIC,,STANDARD,606.25,alta
CROS G4,CROS,RIC,,STANDARD,582,media
P,6 G5,,,STANDARD,498.5,media
DUO,6 G5,,,STANDARD,498.5,media
STILINE,6 G5,,,STANDARD,687.5,media
QUIX,6 G4,,,STANDARD,444.5,media
HP,6 G4,,,STANDARD,326.375,media
ICON,6 G4,,,STANDARD,409.75,media
MOOD,4 G5,,,STANDARD,409.75,media
STILINE,4 G5,,,STANDARD,586,standard
QUIX,4 G4,,,STANDARD,354.125,standard
P,4 G4,,,STANDARD,257,standard
DUO,4 G4,,,STANDARD,257,standard
ICON,4 G4,,,STANDARD,340.25,standard
RIXX,4 G4,,,STANDARD,361.125,standard
MOOD,4 G4,,,STANDARD,361.125,standard
HP,3 G4,,,STANDARD,187.5,standard
P,3 G4,,,STANDARD,187.5,standard
DUO,3 G4,,,STANDARD,187.5,standard
,VOLTA C,,,STANDARD,183.375,standard
